gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgRevenuePerMonth,IsNewCustomer,ChargesPerServiceYear,Cluster,Segment,Recommendation,ChurnProbability,ChurnProbabilityPercent,RiskCategory,RevenueAtRisk,EstimatedCLV,PriorityScore
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,14.925,1,358.20000000000005,1,High Risk Customers,Offer retention discount,0.4801528,48.015278,Medium,14.332560655474664,29.85,427.82693556591875
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,53.98571428571429,0,683.4000000000001,2,New Customers,Onboarding campaign,0.009641303,0.9641303,Low,0.5490721915848553,1936.3000000000002,1063.1684845657555
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,36.050000000000004,1,646.2,2,New Customers,Onboarding campaign,0.674212,67.421196,High,36.30631506443024,107.7,3910.1901324391365
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,40.016304347826086,0,507.59999999999997,1,High Risk Customers,Offer retention discount,0.012561855,1.2561855,Low,0.5313664625398814,1903.4999999999998,1011.4560614446641
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,50.550000000000004,1,848.4000000000001,2,New Customers,Onboarding campaign,0.7584069,75.84069,High,53.61936624050141,141.4,7581.778386406899
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,91.16666666666667,1,1195.8000000000002,2,New Customers,Onboarding campaign,0.9746814,97.46814,Critical,97.12699925899506,797.2,77429.64380927087
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,84.75652173913043,0,1069.1999999999998,2,New Customers,Onboarding campaign,0.42727664,42.727665,Medium,38.07034872472286,1960.1999999999998,74625.49757020175
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,27.44545454545454,1,357.0,1,High Risk Customers,Offer retention discount,0.12808624,12.808624,Low,3.8105656132102013,297.5,1133.6432699300349
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,105.03620689655173,0,1257.6,2,New Customers,Onboarding campaign,0.86185396,86.185394,Critical,90.32229471206665,2934.4,265041.7416030884
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,55.364285714285714,0,673.8,0,Premium Customers,Provide VIP benefits,0.009400526,0.9400526,Low,0.5278395383618771,3481.2999999999997,1837.5677848992027
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,41.96071428571429,0,599.4000000000001,1,High Risk Customers,Offer retention discount,0.06759947,6.759947,Low,3.3765934232622388,649.35,2192.5909393953348
